id;citation;reponse;coeur;chapitre;page
71;-"Parce que nous partageons le même rêve";Zeff;0;58;16
72;-"Ce n'est pas en mourant que tu t'acquitteras de quoi que ce soit";Luffy;0;59;15
73;-"Votre réaction disproportionnée est une preuve accablante de votre faiblesse";Don Krieg;0;60;5
74;-"Il est temps d'apprendre à ce jeune illuminé ce que signifie véritablement le mot 'puissance'";Don Krieg;0;60;5
75;-"C'est la première fois de ma vie que quelqu'un se montre aussi gentil envers moi";Gyn;0;61;21
76;-"Alors comme ça, tu crois que cet océan sera mon tombeau? Et si jamais il s'avérait être le tien?";Luffy;0;63;22
77;-"Je vais tellement t'abîmer que même ta mère sera incapable de te reconnaître";Don Krieg;0;64;16
78;-"Qui va l'emporter selon toi? La puissance de l'arsenal conçu pour tuer ou bien celle des convictions de ce gamin qui ne craint pas la mort?";Zeff;1;65;5
79;-"Dire que je connais l'un de ces idiots qui, pour d'absurdes raisons, renoncent à leurs ambitions et abandonnent leurs rêves";Zeff;0;66;14
80;-"Je trouve ça tellement ridicule quand je vois ce qu'a fait ce gamin";Gyn;0;67;8
81;-"Prend soin de toi et tache de ne pas t'enrhumer";Zeff;1;68;16
82;-"Les vrais hommes font leur adieux en silence";Zeff;0;68;19
83;-"Je ne supporte pas les lâches dans son genre qui pensent que la mort résoudra tous leurs problèmes";Nojiko;0;70;18
84;"La vie est ce qu'il y a de plus important. Ne parle-t-on pas de "joie de vivre"?";Arlong;0;72;13
85;-"Nulle égalité n'existe entre les être vivants!!";Arlong;0;72;13
86;-"Je suis le plus séduisant des hommes poulpes!!";Octy;0;73;4
87;-"Je me méfie des gens trop intelligents";Kuroobi;0;74;4
88;-"Je vais me charger personnellement de ton élimination.";Nami;0;74;10
89;-"Croyez-vous que notre sens de la justice nous autorise à fermer les yeux?!!";Pudding;0;75;9
90;-"En ce qui me concerne je n'ai qu'une parole";Arlong;1;75;18
91;-"Faites ce que vous voulez!!! Allez tous au diable!!";Nami;0;76;8
92;-"Il était encore vivant jusqu'à ce qu'on le tue...";Zoro et Sanji;0;76;13
93;-"Aucun autre mot ne pouvait te blesser autant";Nojiko;0;76;16
94;-"Je te rembourserai la prochaine fois en nature";Belmer;0;77;7
95;-"Je ne veux plus jamais t'entendre proférer pareille ânerie";Belmer;0;77;12
96;-"Elle ne sait pas encore ce dont sont capable les hommes";Belmer;0;77;17
97;-"Nous formons une vraie famille";Belmer;0;78;15
98;-"Quoi qu'il arrive, vous devez aimer l'époque qui vous a vues naître!! Ne vous souciez ni du regard , ni de ce que disent les autres! Et soyez assez fortes pour pouvoir rire au nez de ceux qui vous critiquent";Belmer;1;79;4
99;-"N'oubliez jamais que tant qu'il y a de la vie il y a de l'espoir";Belmer;0;79;4
100;-"Va-t'en nami!! Et ne remets plus jamais les pieds dans ce village";Genzo;0;79;16
